Índice n,Radio,Masa,rho_c / <rho>
0.0,2.449489742783178,4.898979485566355,1.0
1.0,3.141592653589793,3.141592653589793,3.289868133696453
1.5,3.6537537362191315,2.7140551201093612,5.9907045163019985
2.0,4.352879928063476,2.4110548679107264,11.402542883399315
3.0,6.8968520508595,2.0182389637849467,54.18248109831001
4.0,14.971547942427993,1.7972304883651684,622.407882241099
5.0,inf,1.0,inf
